Date,Close
3/2/2015,88.04
3/3/2015,87.62
3/4/2015,87.18
3/5/2015,86.74
3/6/2015,85.63
3/9/2015,85.16
3/10/2015,84.26
3/11/2015,84.02
3/12/2015,84.22
3/13/2015,83.87
3/16/2015,84.76
3/17/2015,84.08
3/18/2015,86.07
3/19/2015,84.41
3/20/2015,84.54
3/23/2015,85.43
3/24/2015,84.52
3/25/2015,84.86
3/26/2015,84.32
3/27/2015,83.58
3/30/2015,85.63
3/31/2015,85
4/1/2015,84.46
4/2/2015,84.3
4/6/2015,85.13
4/7/2015,85.75
4/8/2015,84.06
4/9/2015,84.65
4/10/2015,85.56
4/13/2015,85.34
4/14/2015,86.63
4/15/2015,88.08
4/16/2015,87.73
4/17/2015,86.93
4/20/2015,87.24
4/21/2015,86.88
4/22/2015,87.46
4/23/2015,87.54
4/24/2015,86.97
4/27/2015,87.01
4/28/2015,87.8
4/29/2015,87.87
4/30/2015,87.37
5/1/2015,88.85
5/4/2015,89.11
5/5/2015,88.61
5/6/2015,88.19
5/7/2015,87.6
5/8/2015,88.99
5/11/2015,86.78
5/12/2015,87.02
5/13/2015,86.56
5/14/2015,86.97
5/15/2015,87.35
5/18/2015,86.85
5/19/2015,86.99
5/20/2015,87.13
5/21/2015,87.21
5/22/2015,86.52
5/26/2015,85.35
5/27/2015,85.11
5/28/2015,85.11
5/29/2015,85.2
6/1/2015,85.13
6/2/2015,85.14
6/3/2015,84.95
6/4/2015,84.22
6/5/2015,84.28
6/8/2015,84.85
6/9/2015,84.58
6/10/2015,85.21
6/11/2015,85.09
6/12/2015,84.02
6/15/2015,83.72
6/16/2015,84.68
6/17/2015,84.73
6/18/2015,85.48
6/19/2015,85.21
6/22/2015,85.17
6/23/2015,85.07
6/24/2015,84.68
6/25/2015,83.93
6/26/2015,83.86
6/29/2015,82.82
6/30/2015,83.2
7/1/2015,82.37
7/2/2015,83.14
7/6/2015,82.53
7/7/2015,82.87
7/8/2015,81.97
7/9/2015,81.6
7/10/2015,82.22
7/13/2015,82.42
7/14/2015,83.11
7/15/2015,82.76
7/16/2015,82.91
7/17/2015,82.61
7/20/2015,81.76
7/21/2015,81.66
7/22/2015,81.79
7/23/2015,81.14
7/24/2015,79.94
7/27/2015,79.26
7/28/2015,82.48
7/29/2015,83.14
7/30/2015,83.01
7/31/2015,79.21
8/3/2015,78.06
8/4/2015,77.17
8/5/2015,77.17
8/6/2015,78.09
8/7/2015,76.83
8/10/2015,78.75
8/11/2015,77.49
8/12/2015,78.79
8/13/2015,78.65
8/14/2015,78.36
8/17/2015,78.77
8/18/2015,77.9
8/19/2015,76.23
8/20/2015,74.57
8/21/2015,72.13
8/24/2015,68.72
8/25/2015,68.71
8/26/2015,72.5
8/27/2015,74.85
8/28/2015,75.07
8/31/2015,75.24
9/1/2015,72.08
9/2/2015,73.23
9/3/2015,73.79
9/4/2015,72.46
9/8/2015,73.5
9/9/2015,72
9/10/2015,72.52
9/11/2015,72.69
9/14/2015,72.49
9/15/2015,72.86
9/16/2015,74.3
9/17/2015,74.46
9/18/2015,72.68
9/21/2015,73.39
9/22/2015,72.74
9/23/2015,72.3
9/24/2015,72.73
9/25/2015,73.23
9/28/2015,72.6
9/29/2015,72.97
9/30/2015,74.35
