Date,Close
3/2/2015,19.28
3/3/2015,19.23
3/4/2015,19.14
3/5/2015,19.39
3/6/2015,19
3/9/2015,18.93
3/10/2015,18.48
3/11/2015,18.32
3/12/2015,18.71
3/13/2015,18.53
3/16/2015,18.67
3/17/2015,18.6
3/18/2015,18.76
3/19/2015,18.66
3/20/2015,18.92
3/23/2015,18.76
3/24/2015,18.7
3/25/2015,18.55
3/26/2015,18.37
3/27/2015,18.53
3/30/2015,18.73
3/31/2015,18.61
4/1/2015,18.51
4/2/2015,18.61
4/6/2015,18.85
4/7/2015,18.72
4/8/2015,19.06
4/9/2015,19.18
4/10/2015,19.13
4/13/2015,19.12
4/14/2015,19.26
4/15/2015,19.17
4/16/2015,19.3
4/17/2015,18.78
4/20/2015,19.48
4/21/2015,19.56
4/22/2015,19.49
4/23/2015,19.5
4/24/2015,22.26
4/27/2015,21.93
4/28/2015,21.47
4/29/2015,21.47
4/30/2015,21.09
5/1/2015,21.14
5/4/2015,21.15
5/5/2015,21.06
5/6/2015,20.96
5/7/2015,21.34
5/8/2015,21.68
5/11/2015,21.64
5/12/2015,21.55
5/13/2015,21.34
5/14/2015,21.61
5/15/2015,21.3
5/18/2015,21.26
5/19/2015,21.09
5/20/2015,21.19
5/21/2015,21.58
5/22/2015,21.38
5/26/2015,21.27
5/27/2015,21.57
5/28/2015,21.33
5/29/2015,21.46
6/1/2015,21.55
6/2/2015,21.55
6/3/2015,21.83
6/4/2015,21.54
6/5/2015,21.35
6/8/2015,21.18
6/9/2015,21.27
6/10/2015,21.54
6/11/2015,21.65
6/12/2015,21.5
6/15/2015,21.18
6/16/2015,21.36
6/17/2015,21.39
6/18/2015,21.97
6/19/2015,21.75
6/22/2015,21.81
6/23/2015,22.3
6/24/2015,22.04
6/25/2015,22.01
6/26/2015,21.91
6/29/2015,21.49
6/30/2015,21.7
7/1/2015,21.87
7/2/2015,21.89
7/6/2015,21.8
7/7/2015,21.84
7/8/2015,21.49
7/9/2015,21.72
7/10/2015,22.18
7/13/2015,22.78
7/14/2015,23.28
